//,"Open/save this file as a standard CSV  <=>  comma (,) separated and double quotes ("") as text delimiter.",,,,,,,,,,,,,
//,You can safely insert commas or double quotes into data fields.,,,,,,,,,,,,,
//,"EXCEPTION: Don't insert a comma right after a double quote, since this terminates the field.",,,,,,,,,,,,,
//,"When editing with OO.org Calc, use the single quote (') for three-number-dates to circumvent automatic conversion.",,,,,,,,,,,,,
//,,,,,,,,,,,,,,
//!,gnuclad parses this correctly no matter in what order the nodes are. You can swap any lines.,,,,,,,,,,,,,
//!,,,,,,,,,,,,,,
//!,"Empty lines get ignored, the first column controls the rest of the line:",,,,,,,,,,,,,
//!,"# = comment, N = node, C = connector, D = domain",,,,,,,,,,,,,
//!,"SVG = SVG image to include, PNG = PNG image to include",,,,,,,,,,,,,
//!,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
#,Nodes,,,,,,,,,,,,,
#,Name,Color,Parent,Start,Stop,Icon,Description,[Namechange,When,Description,[Namechange,When,Description,. . . ]]
N,Maruzensky (JPN),#1548E5,,1974.5,1997.8,,,,,,,,,
N,Mr. C.B. (JPN),#1548E5,,1980.4,2000.12,,,,,,,,,
N,Katsuragi Ace (JPN),#1548E5,,1980.4,2000.6,,,,,,,,,
N,Symboli Rudolf (JPN),#1548E5,,1981.5,2011.1,,,,,,,,,
N,Sirius Symboli (JPN),#1548E5,,1982.3,2012.4,,,,,,,,,
N,Mejiro Ramonu (JPN),#E515A8,,1983.4,2005.9,,,,,,,,,
N,Gold City (JPN),#1548E5,,1984.4,1990.5,,,,,,,,,
N,Tamamo Cross (JPN),#1548E5,,1984.5,2003.4,,,,,,,,,
N,Inari One (JPN),#1548E5,,1984.5,2016.2,,,,,,,,,
N,Sakura Chiyono O (JPN),#1548E5,,1985.2,2012.1,,,,,,,,,
N,Mejiro Ardan (JPN),#1548E5,,1985.3,2002.6,,,,,,,,,
N,Oguri Cap (JPN),#1548E5,,1985.3,2010.7,,,,,,,,,
N,Yaeno Muteki (JPN),#1548E5,,1985.4,2014.3,,,,,,,,,
N,Bamboo Memory (JPN),#1548E5,,1985.5,2007.8,,,,,,,,,
N,Super Creek (JPN),#1548E5,,1985.5,2010.8,,,,,,,,,
N,Mejiro Palmer (JPN),#1548E5,,1987.3,2012.4,,,,,,,,,
N,Mejiro Ryan (JPN),#1548E5,,1987.4,2016.3,,,,,,,,,
N,Ikuno Dictus (JPN),#E515A8,,1987.4,2019.2,,,,,,,,,
N,Mejiro McQueen (JPN),#1548E5,,1987.4,2006.4,,,,,,,,,
N,Daiichi Ruby (JPN),#E515A8,,1987.4,2007.4,,,,,,,,,
N,Daitaku Helios (JPN),#1548E5,,1987.4,2008.12,,,,,,,,,
N,Ines Fujin (JPN),#1548E5,,1987.4,2004.4,,,,,,,,,
N,K.S.Miracle (USA),#1548E5,,1988.3,1991.12,,,,,,,,,
