//,"Open/save this file as a standard CSV  <=>  comma (,) separated and double quotes ("") as text delimiter.",,,,,,,,,,,,,
//,You can safely insert commas or double quotes into data fields.,,,,,,,,,,,,,
//,"EXCEPTION: Don't insert a comma right after a double quote, since this terminates the field.",,,,,,,,,,,,,
//,"When editing with OO.org Calc, use the single quote (') for three-number-dates to circumvent automatic conversion.",,,,,,,,,,,,,
//,,,,,,,,,,,,,,
//!,gnuclad parses this correctly no matter in what order the nodes are. You can swap any lines.,,,,,,,,,,,,,
//!,,,,,,,,,,,,,,
//!,"Empty lines get ignored, the first column controls the rest of the line:",,,,,,,,,,,,,
//!,"# = comment, N = node, C = connector, D = domain",,,,,,,,,,,,,
//!,"SVG = SVG image to include, PNG = PNG image to include",,,,,,,,,,,,,
//!,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
#,Nodes,,,,,,,,,,,,,
#,Name,Color,Parent,Start,Stop,Icon,Description,[Namechange,When,Description,[Namechange,When,Description,. . . ]]
N,Hail to Reason (USA),#A5D8EF,,1958.4,1976.2,,,,,,,,,
N,Halo (USA),#A5D8EF,Hail to Reason (USA),1969.2,2000.11,,,,,,,,,
N,Goodbye Halo (USA),#E991CF,Halo (USA),1985.2,1995.4,,,,,,,,,
N,Sunday Silence (USA),#A5D8EF,Halo (USA),1986.3,2003.12,,,Deceased,2002.8,,,,,
N,Fuji Kiseki (JPN),#1548E5,Sunday Silence (USA),1992.4,2015.12,,,,,,,,,
N,Tsurumaru Glamor (JPN),#E991CF,Fuji Kiseki (JPN),1999.3,2008.3,,,,,,,,,
N,Marvelous Sunday (JPN),#1548E5,Sunday Silence (USA),1992.5,2016.6,,,,,,,,,
N,Bubble Gum Fellow (JPN),#1548E5,Sunday Silence (USA),1993.4,2010.4,,,,,,,,,
N,Must Be Loved (JPN),#E991CF,Sunday Silence (USA),1993.6,2002.4,,,,,,,,,
N,Stay Gold (JPN),#1548E5,Sunday Silence (USA),1994.3,2015.2,,,,,,,,,
N,Dream Journey (JPN),#1548E5,Stay Gold (JPN),2004.2,,,,,,,,,,
